Group,Station No.,Station Name,Latitude,Longitude,Elevation,Catchment Area,Flow Mean,Standard deviation,Flow CV
5,4278402,SG TAWAU AT KUHARA SABAH,4.2823,117.8819,10,104,3.36875,4.10124036,1.217436842
6,4378401,SG TAWAU AT LADANG IMAM SABAH,4.3178,117.8917,0,0,1.124375,1.280026651,1.138433931
7,4381401,SG BALUNG AT BALUNG BRIDGE SABAH,4.3764,118.1064,25,137,2.187,2.203200639,1.007407699
8,4474401,SG KALABAKAN AT KALABAKAN SABAH,4.4603,117.3931,30,1150,11.96358333,28.05072882,2.344676176
9,4764401,SG SAPULUT AT SAPULUT SABAH,4.688944444,116.4843333,260,2599,81.74620833,53.42815335,0.653585707
1,4959401,SG PADAS AT KEMABONG SABAH,4.9169,115.9236,183,3185,124.9720833,70.53444166,0.564401583
4,5074401,SG KUAMUT AT ULU KUAMUT SABAH,5.080722222,117.4451111,30,2950,130.84375,71.46025465,0.546149546
10,5156403,SG LAKUTAN AT MESAPOL SABAH,5.1255,115.6325,10,173,6.162041667,3.490864287,0.566510984
2,5261401,SG PEGALAN AT ANSIP SABAH,5.2801,116.1156,230,2155,59.228875,42.86937173,0.723791761
1,5261402,SG SOOK AT BIAH SABAH,5.2569,116.1425,260,1850,19.93870833,19.37840984,0.971898957
4,5275401,SG KINABATANGAN AT PAGAR SABAH,5.230555556,117.5032778,0,9430,310.75,191.8419749,0.617351488
1,5357403,SG PADAS AT BEAUFORT JPS SABAH,5.3532,115.7269,9,8500,231.4034583,139.1995183,0.601544676
4,5373401,SG MILIAN AT TANGKULAP SABAH,5.306027778,117.3206389,30,5730,193.66625,145.2792541,0.750152668
11,5375401,SG KINABATANGAN AT BALAT SABAH,5.309888889,117.59975,23,10800,344.8979167,294.6539966,0.854322344
12,5462402,SG APIN-APIN AT WATERWORKS SABAH,5.4828,116.2675,340,133,3.704083333,2.734860799,0.738336736
13,5478403,SG KINABATANGAN BARIK MANIS SABAH,5.49125,117.8838889,0,12300,687.395,515.7289996,0.750265858
1,5663402,SG PEGALAN AT KARANAAN P.H. SABAH,5.6847,116.3789,0,0,7.547208333,4.661852411,0.617692292
4,5668401,SG KEGIBANGAN AT TAMPIAS P.H. SABAH,5.7011,116.8497,165,800,45.57741667,23.74108319,0.520895762
1,5760401,SG PAPAR AT KAIDUAN SABAH,5.768861111,116.0935556,91,365,28.18529167,14.92756533,0.529622525
2,5760402,SG PAPAR AT KOGOPAN SABAH,5.707555556,116.038,24,546,32.43025833,24.13140476,0.744101527
3,5872401,SG LABUK AT POROG SABAH,5.8542,117.2317,17,3185,62.93333333,79.78004316,1.267691364
1,5961403,SG MOYOG PENAMPANG SABAH,5.914027778,116.1228333,6,191,16.28916667,11.65728745,0.715646644
14,6065401,SG LIWAGU AT KINABALU PARK SABAH,6.006777778,116.5495278,1600,11,0.709875,0.544046885,0.766398148
3,6073402,SG TUNGUD AT BASAI SABAH,6.049611111,117.3204167,0,700,47.22566667,44.66829434,0.94584783
15,6162404,SG TUARAN AT TAMPARULI SABAH,6.131055556,116.27225,0,679.9,40.62091667,25.00629829,0.615601526
3,6172401,SG SUGUT AT BUKIT MONDOU SABAH,6.194611111,117.2421944,25,2101,98.98125,124.8772081,1.261624884
2,6264401,SG KADAMAIAN AT TAMU DARAT SABAH,6.263472222,116.4574167,52,388,38.596625,24.71883927,0.640440434
2,6364401,SG WARIU AT BRIDGE NO2 SABAH,6.323527778,116.4857222,37,243,16.28145833,12.64560029,0.7766872
3,6468402,SG BONGAN AT TIMBANG BATU SABAH,6.442277778,116.8161111,70,570,15.68016667,13.54995187,0.864145909
3,6670401,SG BENGKOKA AT KOBON SABAH,6.620777778,117.0415556,20,700,41.46291667,66.11613087,1.59458466
